SUBZONE_N,PLN_AREA_N,REGION_N,Age_0to6,Age_20to29,Age_over85,HDB_AV_E,HDB_AV_2rm,HDB_AV_1rm,House_AV,Condo_AV,EC_AV,Apart_AV,e12k_Over,DP,FDW,WP,stud_lprim,stud_jcoll,VariableX,Y
SUNSET WAY,CLEMENTI,WEST REGION,368,860,108,50778,0,0,346499,24151,0,147089,632,380,786,135,136,36,607,3312
MACPHERSON,GEYLANG,CENTRAL REGION,1430,3901,669,11284,0,0,181303,44712,0,88693,552,248,998,3005,569,46,497,7114
KIM KEAT,TOA PAYOH,CENTRAL REGION,428,1200,155,9406,5101,5101,0,0,0,0,169,35,310,562,206,29,880,4968
BEDOK NORTH,BEDOK,EAST REGION,4451,11187,1358,406263,2412,2412,337748,301381,0,135466,2325,2228,3535,5638,1973,197,9,21761
TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION,2143,3422,577,0,0,0,0,119407,0,27914,1639,515,1632,1216,885,153,366,6561
JURONG GATEWAY,JURONG EAST,WEST REGION,48,89,0,0,0,0,0,0,0,0,67,186,41,114,7,9,755,1459
HOLLAND ROAD,BUKIT TIMAH,CENTRAL REGION,750,1210,151,0,0,0,2099894,485545,0,216368,2092,2158,2404,73,407,179,732,2902
KAMPONG UBI,GEYLANG,CENTRAL REGION,777,2194,81,28218,0,0,0,0,0,0,105,66,347,2801,262,16,452,5697
SENNETT,TOA PAYOH,CENTRAL REGION,347,722,162,0,0,0,360177,30874,0,133917,834,238,760,1098,131,66,859,2402
POTONG PASIR,TOA PAYOH,CENTRAL REGION,599,1350,167,73330,0,0,0,55205,0,73197,456,252,482,633,249,104,585,3736
TUAS NORTH,TUAS,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,16,0,2050,0,0,633,115
PEI CHUN,TOA PAYOH,CENTRAL REGION,577,1259,248,0,0,0,0,0,0,0,238,20,406,869,277,49,573,3362
BOON TECK,TOA PAYOH,CENTRAL REGION,683,1768,442,0,5118,5118,0,0,0,0,270,0,406,677,310,55,530,4603
KIAN TECK,JURONG WEST,WEST REGION,0,0,0,0,0,0,0,0,0,11320006,0,15,0,15913,0,0,962,3163
SAFTI,JURONG WEST,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,2337
TOH TUCK,CLEMENTI,WEST REGION,0,0,0,0,0,0,0,0,0,0,27,21,0,10449,0,0,668,1887
MOUNT PLEASANT,NOVENA,CENTRAL REGION,20,124,25,0,0,0,291102,0,0,0,88,144,283,16,23,0,886,1485
HILLCREST,BUKIT TIMAH,CENTRAL REGION,695,939,177,0,0,0,1579813,112611,0,436694,1838,1529,2304,41,333,240,732,1673
SAUJANA,BUKIT PANJANG,WEST REGION,2555,3884,135,249134,0,0,0,0,65414,0,660,70,993,217,909,113,382,6650
SELETAR HILLS,SERANGOON,NORTH-EAST REGION,779,2295,225,0,0,0,1375442,19206,0,98624,2364,213,2373,752,336,184,556,5345
COMPASSVALE,SENGKANG,NORTH-EAST REGION,3009,1895,0,0,8009,8009,0,138764,70211,0,1084,356,1015,280,1048,38,610,9104
YIO CHU KANG EAST,ANG MO KIO,NORTH-EAST REGION,273,680,61,0,0,0,131081,34810,0,64887,631,129,592,171,104,60,678,2197
YIO CHU KANG,ANG MO KIO,NORTH-EAST REGION,0,0,0,0,0,0,0,0,0,0,0,66,0,27,0,164,530,1932
LOYANG WEST,PASIR RIS,EAST REGION,0,0,82,0,0,0,0,0,0,0,0,0,0,1853,0,0,957,3130
