,BUILDING_N,longitude,latitude,HOUSE_BLK_NO,ROAD_NAME,POSTAL_CODE,address
130,SWISS SCHOOL,103.790761,1.342973,38,SWISS CLUB ROAD,288140.0,38 SWISS CLUB ROAD SWISS SCHOOL SINGAPORE 288140
131,TANGLIN TRUST SCHOOL,103.791989,1.296891,95,PORTSDOWN ROAD,139299.0,95 PORTSDOWN ROAD TANGLIN TRUST SCHOOL SINGAPORE 139299
132,TANJONG KATONG GIRLS' SCHOOL (U/C),103.896572,1.307069,,,,
133,TANJONG KATONG PRIMARY SCHOOL,103.900128,1.305282,10,SERAYA ROAD,437259.0,10 SERAYA ROAD TANJONG KATONG PRIMARY SCHOOL SINGAPORE 437259
134,TANJONG KATONG SECONDARY SCHOOL,103.897225,1.308735,130,HAIG ROAD,438796.0,130 HAIG ROAD TANJONG KATONG SECONDARY SCHOOL SINGAPORE 438796
135,TAO NAN SCHOOL,103.911553,1.305285,49,MARINE CRESCENT,449761.0,49 MARINE CRESCENT TAO NAN SCHOOL SINGAPORE 449761
136,WHITLEY SECONDARY SCHOOL,103.842552,1.355052,30,BISHAN STREET 24,579747.0,30 BISHAN STREET 24 WHITLEY SECONDARY SCHOOL SINGAPORE 579747
137,ZHANGDE PRIMARY SCHOOL,103.825952,1.284212,51,JALAN MEMBINA,169485.0,51 JALAN MEMBINA ZHANGDE PRIMARY SCHOOL SINGAPORE 169485
138,CANTONMENT PRIMARY SCHOOL,103.839962631748,1.27547252623201,1,CANTONMENT CLOSE,88256.0,1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256
139,RADIN MAS PRIMARY SCHOOL,103.824188270373,1.27495823622634,1,BUKIT PURMEI AVENUE,99840.0,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840
142,MANASSEH MEYER SCHOOL,103.8240440514,1.43669488332953,38C,BELVEDERE CLOSE,159883.0,3 JALAN ULU SEMBAWANG SIR MANASSEH MEYER INTERNATIONAL SCHOOL SINGAPORE 758932
143,EAST ASIA SCHOOL OF THEOLOGY,103.847992688585,1.31227344413739,1,DORSET ROAD,219486.0,1 DORSET ROAD EAST ASIA SCHOOL OF THEOLOGY SINGAPORE 219486
